Study_Hours,Sleep_Hours,Attendance,Stress_Level,Screen_Time,Assignments_Completed,Performance,Burnout
8,7,90,3,2,9,88,No
7,6,85,4,3,8,82,No
6,7,80,5,4,7,78,No
5,6,75,6,5,6,70,No
4,5,70,7,6,5,62,Yes
3,4,65,8,7,4,55,Yes
2,4,60,9,8,2,45,Yes
1,3,55,10,9,1,38,Yes
9,8,95,2,1,10,94,No
8,7,92,3,2,9,90,No
7,6,88,4,3,8,85,No
6,6,82,5,4,7,80,No
5,5,78,6,5,6,72,No
4,5,72,7,6,5,65,Yes
3,4,68,8,7,4,58,Yes
2,3,60,9,8,3,48,Yes
8,7,91,3,2,9,89,No
7,7,86,4,3,8,84,No
6,6,81,5,4,7,79,No
5,5,76,6,5,6,71,No
4,5,71,7,6,5,64,Yes
3,4,66,8,7,4,57,Yes
2,3,58,9,8,2,46,Yes
1,3,52,10,9,1,35,Yes
9,8,96,2,1,10,95,No
8,7,93,3,2,9,91,No
7,6,89,4,3,8,86,No
6,6,84,5,4,7,81,No
5,5,79,6,5,6,73,No
4,4,73,7,6,5,66,Yes
3,4,67,8,7,4,59,Yes
2,3,61,9,8,3,49,Yes
8,7,90,3,2,9,88,No
7,6,85,4,3,8,83,No
6,6,80,5,4,7,77,No
5,5,75,6,5,6,70,No
4,4,70,7,6,5,63,Yes
3,4,65,8,7,4,56,Yes
2,3,59,9,8,2,44,Yes
1,2,50,10,9,1,32,Yes
9,8,97,2,1,10,96,No
8,7,94,3,2,9,92,No
7,6,90,4,3,8,87,No
6,6,85,5,4,7,82,No
5,5,80,6,5,6,74,No
4,4,74,7,6,5,67,Yes
3,3,68,8,7,4,60,Yes
2,3,62,9,8,3,50,Yes
1,2,55,10,9,1,36,Yes
